 H+ 0         1         1       109679.(1S)
    1 1S1               (2)0( 0.5)             0.0   {1}1.000
    2 2S1               (2)0( 0.5)         82258.9   {1}1.000
    3 2P1               (2)1( 2.5)         82259.0   {1}1.000
    4 3S1               (2)0( 0.5)         97492.2   {1}1.000
    5 3P1               (2)1( 2.5)         97492.2   {1}1.000
    6 3D1               (2)2( 4.5)         97492.3   {1}1.000
    7 4S1               (2)0( 0.5)        102823.9   {1}1.000
    8 4P1               (2)1( 2.5)        102823.9   {1}1.000
    9 4D1               (2)2( 4.5)        102823.9   {1}1.000
   10 4F1               (2)3( 6.5)        102823.9   {1}1.000
   11 5S1               (2)0( 0.5)        105291.6   {1}1.000
   12 5P1               (2)1( 2.5)        105291.6   {1}1.000
   13 5D1               (2)2( 4.5)        105291.6   {1}1.000
   14 5F1               (2)3( 6.5)        105291.6   {1}1.000
   15 5G1               (2)4( 8.5)        105291.6   {1}1.000
   -1
R  1  +1         4.80-13 2.75-13 2.11-13 1.46-13 7.78-14 5.64-14 3.48-14 2.55-14 2.02-14 1.67-14 1.01-14 5.05-15 1.47-15
R  2  +1         7.02-14 4.03-14 3.10-14 2.15-14 1.15-14 8.29-15 5.06-15 3.67-15 2.88-15 2.37-15 1.42-15 6.98-16 1.99-16
R  3  +1         1.88-13 1.03-13 7.57-14 4.81-14 2.05-14 1.29-14 6.37-15 4.06-15 2.90-15 2.22-15 1.12-15 4.45-16 9.56-17
R  4  +1         2.35-14 1.35-14 1.03-14 7.14-15 3.75-15 2.68-15 1.61-15 1.16-15 9.06-16 7.42-16 4.41-16 2.15-16 6.07-17
R  5  +1         7.09-14 3.88-14 2.87-14 1.82-14 7.74-15 4.85-15 2.38-15 1.51-15 1.08-15 8.24-16 4.14-16 1.65-16 3.52-17
R  6  +1         7.74-14 3.88-14 2.67-14 1.51-14 5.02-15 2.79-15 1.17-15 6.88-16 4.65-16 3.42-16 1.58-16 5.81-17 1.15-17
R  7  +1         1.09-14 6.20-15 4.74-15 3.25-15 1.68-15 1.19-15 7.07-16 5.06-16 3.94-16 3.22-16 1.91-16 9.24-17 2.60-17
R  8  +1         3.36-14 1.84-14 1.35-14 8.58-15 3.61-15 2.25-15 1.10-15 6.98-16 4.97-16 3.79-16 1.90-16 7.54-17 1.61-17
R  9  +1         4.80-14 2.41-14 1.66-14 9.36-15 3.12-15 1.73-15 7.27-16 4.25-16 2.87-16 2.11-16 9.78-17 3.59-17 7.09-18
R 10  +1         3.26-14 1.45-14 9.30-15 4.65-15 1.28-15 6.58-16 2.54-16 1.43-16 9.46-17 6.85-17 3.08-17 1.10-17 2.15-18
R 11  +1         5.98-15 3.39-15 2.59-15 1.76-15 8.92-16 6.27-16 3.71-16 2.65-16 2.06-16 1.68-16 9.90-17 4.78-17 1.34-17
R 12  +1         1.86-14 1.01-14 7.45-15 4.69-15 1.96-15 1.22-15 5.93-16 3.75-16 2.67-16 2.03-16 1.02-16 4.03-17 8.59-18
R 13  +1         2.90-14 1.46-14 1.00-14 5.65-15 1.87-15 1.04-15 4.36-16 2.55-16 1.72-16 1.27-16 5.86-17 2.15-17 4.25-18
R 14  +1         2.84-14 1.27-14 8.11-15 4.06-15 1.12-15 5.74-16 2.22-16 1.25-16 8.25-17 5.97-17 2.69-17 9.63-18 1.87-18
R 15  +1         1.37-14 5.38-15 3.20-15 1.45-15 3.51-16 1.73-16 6.40-17 3.54-17 2.32-17 1.67-17 7.44-18 2.65-18 5.12-19
S  1  +1         2.03-09 3.30-09 4.21-09 6.09-09 1.09-08 1.44-08 2.07-08 2.49-08 2.78-08 2.99-08 3.38-08 3.56-08 3.17-08
  -1
  -1  -1
C-------------------------------------------------------------------------------
C
C  File generated by altering the temperature set of an ADF04 file
C
C  Program     : ADAS215
C
C  Source file : /home/adas/adas/adf04/hlike/hlike_ha00#h0ls.dat
C
C  Producer    : Martin O'Mullane              
C
C  Date        : 17/09/03
C-------------------------------------------------------------------------------
C   
C  Generate radiative recombination from : 
C     /home/adas/adas/adf08/rrc98##/rrc98##_h1.dat
C   
C
C  CODE     : ADAS211
C  PRODUCER : Martin O'Mullane              
C  DATE     : 17/09/03
C
C-------------------------------------------------------------------------------
C
C  Added ionisation rates (S-lines) from :
C      /home/adas/adas/adf07/szd93#h/szd93#h_h0.dat
C
C    S  1  +1   ISEL =    2   Energy =    109678.8
C
C  Producer : Martin O'Mullane
C  Date     : 17/09/03
C
C-------------------------------------------------------------------------------
C
C  Energy levels adjusted to NIST values.
C
C  Producer : Martin O'Mullane
C  Date     : 17/09/03
C
C-------------------------------------------------------------------------------
 
C---------------------------------------------------------------------------------
